Temperature I,Temperature II,Ore Parameter I,Ore Parameter II,Ore Parameter III,Ore Parameter IV,Indicators A,Indicators B,Indicators C,Indicators D
1173.81,814.93,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.7,813.51,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.92,813.71,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.19,813.69,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.06,813.8,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.15,813.53,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.92,814.02,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.92,813.59,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.57,813.91,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.92,814.01,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.32,813.7,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.7,813.76,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.9,813.81,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.01,813.68,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.23,814.61,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.32,813.89,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.35,813.65,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.35,813.63,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.96,814.11,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.1,813.65,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.18,813.78,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.17,813.1,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.41,813.57,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.84,814.1,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.54,813.55,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.14,814.79,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1171.37,812.55,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.32,813.98,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1171.86,811.75,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.23,813.33,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.48,813.05,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1171.86,813.27,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.88,813.32,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.57,813.6,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.83,813.47,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.79,813.18,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.39,813.42,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.4,813.91,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.18,813.51,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.14,813.57,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.48,812.83,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.08,813.55,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1171.06,812.32,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.57,813.35,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.65,813.78,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.1,813.86,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.17,812.53,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.54,815.56,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1172.96,813.4,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
1173.63,813.92,49.24,90.38,46.13,28.16,78.26,25.54,12.24,14.14
